Level,Department_Code,Department_Name,Agency_Code,Agency_Name,Sub_Agency_Code,Sub_Agency_Name,House,Increase,Decrease,Net,Senate
Summary,,PROGRAMMED_APPROPRIATIONS,,,,,4402808041,322323991,-322323991,0,4402808041
Summary,,Departments,,,,,3702417193,281474861,-270376584,11098277,3713515470
Summary,,Special_Purpose_Funds,,,,,700390848,40849130,-51947407,-11098277,689292571
Summary,,UNPROGRAMMED_APPROPRIATIONS,,,,,243222549,4237261,-72904270,-68667009,174555540
Summary,,TOTAL_NEW_APPROPRIATIONS,,,,,4646030590,326561252,-395228261,-68667009,4577363581
Department,I,CONGRESS OF THE PHILIPPINES,,,,,37196133,1344079,0,1344079,38540212
Agency,I,CONGRESS OF THE PHILIPPINES,A,senate,,,7520988,1051000,0,1051000,8571988
Agency,I,CONGRESS OF THE PHILIPPINES,B,Senate Electoral Tribunal,,,329888,0,0,0,329888
Agency,I,CONGRESS OF THE PHILIPPINES,C,Commission on Appointments,,,1387177,293079,0,293079,1680256
Agency,I,CONGRESS OF THE PHILIPPINES,D,House of Representatives,,,27702099,0,0,0,27702099
Agency,I,CONGRESS OF THE PHILIPPINES,E,House of Representatives Electoral Tribunal,,,255981,0,0,0,255981
Department,II,OFFICE OF THE PRESIDENT,,,,,27286435,66200,0,66200,27352635
Agency,II,OFFICE OF THE PRESIDENT,A,The President's Offices,,,27286435,66200,0,66200,27352635
Department,III,OFFICE OF THE VICE-PRESIDENT,,,,,733198,156038,0,156038,889236
Agency,III,OFFICE OF THE VICE-PRESIDENT,A,Office of the Vice-President,,,733198,156038,0,156038,889236
Department,IV,DEPARTMENT OF AGRARIAN REFORM,,,,,16718499,200000,0,200000,16918499
Agency,IV,DEPARTMENT OF AGRARIAN REFORM,A,Office of the Secretary,,,16718499,200000,0,200000,16918499
Department,V,DEPARTMENT OF AGRICULTURE,,,,,180285190,21560964,-42619273,-21058309,159226881
Agency,V,DEPARTMENT OF AGRICULTURE,A,Office of the Secretary,,,162033630,20608964,-42619273,-22010309,140023321
